Kode Hac,Site,Nama equipment,Part,Standard
Lpg-BE01,Lampung,Bucket Elevator 01,Buckets (Mangkok),Baut pengikat kencang
Lpg-BE01,Lampung,Bucket Elevator 01,Buckets (Mangkok),Tidak ada bucket pecah
pntk-BE01,Pontianak,Bucket Elevator 01,Motor / Drive Unit,Suhu < 60 derajat C
pntk-BE01,Pontianak,Bucket Elevator 01,Motor / Drive Unit,Getaran mesin normal
pntk-BE01,Pontianak,Bucket Elevator 01,Gearbox,Tidak ada rembesan oli
pntk-BE01,Pontianak,Bucket Elevator 01,Gearbox,Level oli cukup
pntk-BE01,Pontianak,Bucket Elevator 01,Belt dan Chain,Ketegangan sesuai
pntk-BE01,Pontianak,Bucket Elevator 01,Belt dan Chain,Tidak ada keretakan
pntk-BE01,Pontianak,Bucket Elevator 01,Buckets (Mangkok),Baut pengikat kencang
pntk-BE01,Pontianak,Bucket Elevator 01,Buckets (Mangkok),Tidak ada bucket pecah
lhk-BE01,Lhoknga,Bucket Elevator 01,Motor / Drive Unit,Suhu < 60 derajat C
lhk-BE01,Lhoknga,Bucket Elevator 01,Motor / Drive Unit,Getaran mesin normal
lhk-BE01,Lhoknga,Bucket Elevator 01,Gearbox,Tidak ada rembesan oli
lhk-BE01,Lhoknga,Bucket Elevator 01,Gearbox,Level oli cukup
lhk-BE01,Lhoknga,Bucket Elevator 01,Belt dan Chain,Ketegangan sesuai
lhk-BE01,Lhoknga,Bucket Elevator 01,Belt dan Chain,Tidak ada keretakan
lhk-BE01,Lhoknga,Bucket Elevator 01,Buckets (Mangkok),Baut pengikat kencang
lhk-BE01,Lhoknga,Bucket Elevator 01,Buckets (Mangkok),Tidak ada bucket pecah

